index,Country,Year,Stunted,Caloric_intake,GDP_per_capita,Population,Underweight,Undernourished_People,Mortality_Rate,Prevalence of wasting,Death_Rate,Number_of_wasted_children,Number_of_food_insecure_people,GHI,GHI_Severity_lvl
0,China,2010,9.4,0.2,8884.588,1348191360.0,3.4,233899999.99999997,1.5755193,2.3,1.07,1974271.0,97900000.0,41.66228189066955,Alarming
1,Iran,2010,6.799999999999999,0.27,15099.46,75373864.0,4.1,5300000.0,1.9310515,4.0,0.47,243797.0,39200000.0,10.80060846423171,Moderate
2,Mongolia,2010,15.3,0.25,7518.831,2702527.0,3.3,400000.0,2.6285522,1.6000000000000003,0.02,4637.0,200000.0,14.26102140371341,Moderate
3,Vietnam,2010,22.7,0.28,6324.526,87411016.0,11.7,8700000.0,2.3048975,4.1,0.23,292305.0,8700000.0,19.17070279454176,Moderate
4,Japan,2010,7.1,0.17,38069.957,128105432.0,3.4,3600000.0,0.31993672,2.3,0.37,124400.0,5500000.0,2.980817296607067,Low
5,Indonesia,2010,39.2,0.28,8212.635,244016176.0,18.6,32200000.000000004,3.3850389,12.3,16.18,2903257.0,20000000.0,40.02998045199126,Alarming
6,Syria,2010,27.9,0.26,18893.909880263156,22337558.0,10.4,1100000.0,1.8922857,11.5,0.65,356298.0,97900000.0,24.590298136113447,Serious
7,Bhutan,2010,33.5,0.2581818181818182,7958.227,705523.0,12.7,233899999.99999997,4.235597,5.9,1.12,3929.0,97900000.0,64.62778642733849,Extremely Alarming
8,Nepal,2011,40.1,0.26,2763.8289,27266398.0,28.9,2500000.0,4.3614535,11.199999999999998,7.28,337364.0,11200000.0,39.07692283714277,Alarming
9,Bangladesh,2011,41.3,0.26,3571.0586,150211008.0,36.7,24200000.0,4.6679926,15.7,5.33,2472203.0,53100000.0,47.52719977210603,Alarming
10,Yemen,2011,46.6,0.41,18893.909880263156,25475608.0,35.5,6500000.0,5.8653626,13.3,6.16,544277.0,22200000.0,49.8431456268723,Alarming
11,Iraq,2011,22.1,0.38,8493.082,32378066.0,7.2,4900000.0,3.3828819,6.500000000000001,0.51,322692.0,97900000.0,24.570910134952957,Serious
12,Vietnam,2011,27.5,0.28,6658.667,88349104.0,16.8,7600000.0,2.2798027999999997,6.599999999999999,0.21,473791.0,8700000.0,22.871911756275267,Serious
13,Pakistan,2011,43.6,0.25,4082.4495,198602736.0,31.4,29600000.000000004,8.514959,14.900000000000002,4.09,4167102.0,97900000.0,63.62302527864306,Extremely Alarming
14,Sri Lanka,2012,14.6,0.24,11055.634,21017150.0,26.1,2700000.0,1.0374973,21.3,1.04,383878.0,2400000.0,24.175239322110922,Serious
15,North Korea,2012,27.9,0.26,18893.909880263156,24887770.0,15.2,9700000.0,2.5700002,4.0,2.2,63901.0,97900000.0,22.342965805167825,Serious
16,Vietnam,2012,26.699999999999996,0.28,6950.2876,89301328.0,16.2,7200000.0,2.2560513,6.7,0.2,485945.0,8700000.0,22.484583712601236,Serious
17,Thailand,2012,16.4,0.24,15129.901,69157024.0,9.2,5900000.0,1.2370229,6.7,1.05,272309.0,5100000.0,14.20247195399938,Moderate
18,Mongolia,2013,10.8,0.25,10504.814,2845160.0,1.6,300000.0,2.145251,1.0,0.02,3309.0,200000.0,10.070020755178021,Moderate
19,Pakistan,2013,44.99999999999999,0.25,4266.7114,205337552.0,31.8,28800000.0,8.071448,10.5,4.13,3028531.0,97900000.0,58.73587015096984,Extremely Alarming
20,China,2013,8.1,0.19,11101.938,1376100352.0,2.4,233899999.99999997,1.2479529,1.8999999999999997,1.09,1707316.0,97900000.0,39.534613180453896,Alarming
21,Yemen,2013,46.4,0.41,18893.909880263156,26984008.0,39.9,7800000.0,5.849592,16.4,5.39,696998.0,22200000.0,52.41975637822207,Extremely Alarming
22,Bangladesh,2013,38.7,0.26,3932.7083,154030144.0,35.1,24000000.0,4.2143087,18.1,3.85,2736572.0,53100000.0,46.646453427509506,Alarming
23,Indonesia,2013,36.4,0.27,9402.108,253275920.0,19.9,21200000.0,2.9995902,13.5,16.6,3251343.0,20000000.0,36.81582389088344,Alarming
24,Vietnam,2013,25.9,0.28,7257.7295,90267736.0,15.3,6800000.0,2.2333968,6.599999999999999,0.18,483940.0,8700000.0,21.93815209133127,Serious
25,India,2014,38.7,0.25,5071.047,1307246464.0,29.4,188300000.0,4.6232467,15.099999999999998,2.23,18807845.0,97900000.0,69.2312023526587,Extremely Alarming
26,Vietnam,2014,24.899999999999995,0.28,7641.909,91235504.0,14.5,6800000.0,2.2107837,6.8,0.17,503988.0,8700000.0,21.614288989395273,Serious
27,Bangladesh,2014,36.2,0.26,4119.425,155961312.0,32.8,23100000.0,4.0021515,14.4,3.48,2146765.0,53100000.0,41.66773259579434,Alarming
28,Nepal,2014,37.1,0.26,3152.2932,27462110.0,29.7,1999999.9999999998,3.7429624,11.3,6.31,332329.0,11200000.0,35.469537685835036,Alarming
29,Vietnam,2015,24.6,0.28,8091.0903,92191400.0,14.1,6500000.0,2.1892395,6.400000000000001,0.16,479057.0,8700000.0,21.040731859986433,Serious
30,Malaysia,2015,17.7,0.22,24151.26,31068834.0,12.4,1900000.0,0.8157200999999998,8.0,1.24,205613.0,5400000.0,13.562833941600527,Moderate
31,India,2015,37.9,0.25,5411.8755,1322866560.0,36.3,185900000.0,4.356927,20.8,1.96,25600142.0,97900000.0,72.18403754363122,Extremely Alarming
32,Vietnam,2016,24.300000000000004,0.28,8545.702,93126528.0,13.8,6400000.0,2.167099,5.955555555555556,0.14,503988.0,8700000.0,20.457055800705497,Serious
33,Thailand,2016,10.5,0.23,16393.314,70607032.0,6.7,4800000.0,1.0315863,5.400000000000001,1.01,208510.0,3300000.0,9.82666030877485,Low
34,Sri Lanka,2016,17.3,0.24,12904.854,21425494.0,20.5,1700000.0,0.83246964,15.099999999999998,0.87,260622.0,1200000.0,19.241051251176447,Moderate
35,Malaysia,2016,20.7,0.22,24859.799,31526414.0,13.7,1800000.0,0.8155494000000001,11.5,1.23,299188.0,4700000.0,17.603551667508007,Moderate
36,Myanmar,2016,29.4,0.28,4109.5576,51892352.0,18.5,1800000.0,4.9868383,6.599999999999999,3.81,296282.0,15800000.0,33.40114895681615,Serious
37,Nepal,2016,36.1,0.26,3244.6743,27861186.0,27.3,1500000.0,3.3739848,9.6,5.84,282411.0,8700000.0,32.16593974867534,Serious
38,Mongolia,2016,7.3,0.24,11058.95,3029559.0,0.8,200000.0,1.8504581,1.2,0.01,4448.0,200000.0,7.6694108545240445,Low
39,India,2017,34.7,0.25,6112.0664,1354195712.0,33.4,174300000.0,3.8661091,17.3,1.42,20842135.0,97900000.0,64.47238724776054,Extremely Alarming
40,North Korea,2017,19.1,0.26,18893.909880263156,25516318.0,9.3,11000000.0,1.8999999999999997,2.5,1.76,41368.0,97900000.0,15.170855799657673,Moderate
41,Vietnam,2017,23.8,0.28,9050.688,94033048.0,13.4,6000000.0,2.145929,5.8,0.13,437927.0,5900000.0,19.99066518349053,Moderate
42,China,2017,4.8,0.19,14243.532,1410275968.0,2.9,233899999.99999997,0.9220807000000001,1.8999999999999997,1.17,1721307.0,97900000.0,36.94292703930302,Alarming
43,Iran,2017,4.8,0.27,15163.292,84505080.0,4.3,6100000.0,1.4460907,4.3,0.31,243797.0,35900000.0,8.463583966477872,Low
44,Bangladesh,2018,30.899999999999995,0.26,5124.4985,163683952.0,21.9,20700000.0,3.2196547999999994,8.4,2.29,1229317.0,51600000.0,31.24648343557307,Serious
45,Indonesia,2018,30.800000000000004,0.28,11397.432,267066848.0,17.7,15700000.0,2.4642334,10.2,15.07,2362686.0,18600000.0,29.006311402532823,Serious
46,Mongolia,2018,9.4,0.24,12052.294,3163994.0,1.8,200000.0,1.678688,0.9,0.01,3523.0,200000.0,7.589097044976434,Low
47,Iraq,2018,12.6,0.4,9995.05,40590700.0,3.9,7000000.0,2.704599,3.0,0.28,172259.0,97900000.0,15.567383257271345,Moderate
48,Myanmar,2018,26.699999999999996,0.28,4556.2812,52666016.0,19.1,1600000.0,4.641533,6.7,3.46,301969.0,15800000.0,31.025783043159215,Serious
49,Pakistan,2018,37.6,0.24,5113.434,219731488.0,23.1,24200000.0,6.964348,7.1,3.78,2080281.0,31200000.0,48.016762304205045,Alarming
50,Vietnam,2018,23.2,0.28,9636.013,94914328.0,12.8,5700000.0,2.12525,5.400000000000001,0.13,503988.0,5900000.0,19.300878371301216,Moderate
51,Vietnam,2019,22.4,0.28,10252.005,95776712.0,12.2,5300000.0,2.106348,5.2,0.12,503988.0,6200000.0,18.687439673309257,Moderate
52,Thailand,2019,13.4,0.24,18003.672,71307768.0,7.7,4300000.0,0.9012203000000001,7.7,0.99,273870.0,3900000.0,12.280302916558524,Moderate
53,Bangladesh,2019,28.0,0.25,5467.208,165516224.0,22.6,19600000.0,3.042254,9.8,2.04,1433621.0,52800000.0,30.382495755020983,Serious
54,Malaysia,2019,21.8,0.21,27674.402,32804024.0,14.1,1200000.0,0.7880466600000001,9.7,1.2,253217.0,4900000.0,16.3782978622854,Moderate
55,Nepal,2019,31.5,0.26,3922.0813,28832500.0,24.4,1400000.0,2.9344585,12.0,5.22,352224.0,10500000.0,30.5574401915734,Serious
56,Vietnam,2020,19.6,0.29,10450.622,96648680.0,11.5,4900000.0,2.085237,5.955555555555556,0.16700000000000004,503988.0,7400000.0,18.048586492521316,Moderate
57,Bangladesh,2010,35.019999999999996,0.26,3395.3647,148391136.0,29.82,22600000.0,4.915377,13.279999999999998,6.47,2736572.0,53100000.0,43.78646669778096,Alarming
58,Singapore,2010,24.59379585326954,0.2581818181818182,78115.21,5163585.0,16.111339712918664,233899999.99999997,0.2834368,8.522046783625731,0.01,25600142.0,400000.0,47.74485850385341,Alarming
59,Israel,2010,24.59379585326954,0.2,34065.844,7328439.0,16.111339712918664,233899999.99999997,0.45566192,8.522046783625731,0.39,25600142.0,1200000.0,48.41917640105988,Alarming
60,Iraq,2010,17.35,0.38,8178.305,31264880.0,5.55,4600000.0,3.488769,4.75,0.58,322692.0,97900000.0,21.619025043275013,Serious
61,India,2010,37.1,0.25,4213.363,1240613632.0,33.03333333333333,195200000.0,5.810156,17.733333333333334,3.14,25600142.0,97900000.0,76.37596732532074,Extremely Alarming
62,Thailand,2010,13.433333333333332,0.25,14172.218,68270488.0,7.866666666666666,6600000.0,1.3558034,6.6000000000000005,1.18,273870.0,5100000.0,13.502798925904386,Moderate
